Bucket_Owner,Bucket,Time,Remote_IP,Requester,Request_ID,Operation,Key,Request_URI,HTTP_status,Error_Code,Bytes_Sent,Object_Size,Total_Time,Turn_Around_Time,Referrer,User_Agent,Version_Id,Date
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:26:19,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,F576B719BA29D132,REST.DELETE.OBJECT,test,DELETE /test HTTP/1.1,204,,,0,20,,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:30:20,10.222.91.5,3272ee65a908a7677109fedda345db8d9554ba26398b2ca10581de88777e2b61,CD5155C27941114A,REST.PUT.OBJECT,logs/2015-06-12-05-30-20-E73830AF57C9284A,PUT /drat/logs/2015-06-12-05-30-20-E73830AF57C9284A HTTP/1.1,200,,,287,49,32,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:13:51,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,F09A42A8759E94BB,REST.PUT.OBJECT,test,PUT /test HTTP/1.1,200,,,0,23,5,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:54:22,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,C5941B81E1CE8885,REST.GET.VERSIONING,,GET /drat?versioning HTTP/1.1,200,,113,,15,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:54:22,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,D6231155DE38D836,REST.GET.REQUEST_PAYMENT,,GET /drat?requestPayment HTTP/1.1,200,,172,,15,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:57:17,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,62A888087CA4B8D8,REST.GET.NOTIFICATION,,GET /?notification HTTP/1.1,200,,115,,12,,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:00:34,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,A96ECECC3D870133,REST.GET.BUCKET,,GET /drat?prefix=&max-keys=100&marker=&delimiter=/&encoding-type=url HTTP/1.1,200,,285,,20,20,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:00:44,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,F477FB942FEBB1EC,REST.GET.REPLICATION,,GET /?replication HTTP/1.1,404,ReplicationConfigurationNotFoundError,315,,11,,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:56:56,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,CFE5EDAB32DD0EA8,REST.GET.LOGGING_STATUS,,GET /drat?logging HTTP/1.1,200,,230,,15,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:56:57,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,9847429A32D1D674,REST.GET.ACL,,GET /drat?acl HTTP/1.1,200,,937,,102,,,S3Console/0.4,,06-12-2015
